Arouca,Benfica,0,3
Arouca,Boavista,1,2
Arouca,Braga,0,6
Arouca,CasaPia,2,0
Arouca,Chaves,1,0
Arouca,Estoril,2,0
Arouca,Famalicão,4,1
Arouca,GilVicente,1,0
Arouca,Marítimo,1,0
Arouca,PaçosdeFerreira,1,1
Arouca,Portimonense,4,0
Arouca,Porto,0,1
Arouca,RioAve,0,1
Arouca,SantaClara,1,0
Arouca,SportingCP,1,0
Arouca,VitóriadeGuimarães,2,2
Arouca,Vizela,1,0
Benfica,Arouca,4,0
Benfica,Boavista,3,1
Benfica,Braga,1,0
Benfica,CasaPia,3,0
Benfica,Chaves,5,0
Benfica,Estoril,1,0
Benfica,Famalicão,2,0
Benfica,GilVicente,3,1
Benfica,Marítimo,5,0
Benfica,PaçosdeFerreira,3,2
Benfica,Portimonense,1,0
Benfica,Porto,1,2
Benfica,RioAve,4,2
Benfica,SantaClara,3,0
Benfica,SportingCP,2,2
Benfica,VitóriadeGuimarães,5,1
Benfica,Vizela,2,1
Boavista,Arouca,0,0
Boavista,Benfica,0,3
Boavista,Braga,1,1
Boavista,CasaPia,0,0
Boavista,Chaves,1,1
Boavista,Estoril,1,0
Boavista,Famalicão,1,2
Boavista,GilVicente,1,0
Boavista,Marítimo,1,1
Boavista,PaçosdeFerreira,1,0
Boavista,Portimonense,4,2
Boavista,Porto,1,4
Boavista,RioAve,3,2
Boavista,SantaClara,2,1
Boavista,SportingCP,2,1
Boavista,VitóriadeGuimarães,2,1
Boavista,Vizela,2,2
Braga,Arouca,2,0
Braga,Benfica,3,0
Braga,Boavista,1,0
Braga,CasaPia,0,1
Braga,Chaves,0,1
Braga,Estoril,4,1
Braga,Famalicão,4,1
Braga,GilVicente,1,0
Braga,Marítimo,5,0
Braga,PaçosdeFerreira,3,0
Braga,Portimonense,4,1
Braga,Porto,0,0
Braga,RioAve,2,0
Braga,SantaClara,5,3
Braga,SportingCP,3,3
Braga,VitóriadeGuimarães,1,0
Braga,Vizela,2,0
CasaPia,Arouca,0,0
CasaPia,Benfica,0,1
CasaPia,Boavista,2,0
CasaPia,Braga,0,1
CasaPia,Chaves,1,2
CasaPia,Estoril,2,2
CasaPia,Famalicão,1,0
CasaPia,GilVicente,1,3
CasaPia,Marítimo,2,0
CasaPia,PaçosdeFerreira,2,1
CasaPia,Portimonense,1,1
CasaPia,Porto,0,0
CasaPia,RioAve,1,0
CasaPia,SantaClara,2,1
CasaPia,SportingCP,3,4
CasaPia,VitóriadeGuimarães,0,0
CasaPia,Vizela,0,1
Chaves,Arouca,1,1
Chaves,Benfica,1,0
Chaves,Boavista,1,4
Chaves,Braga,1,2
Chaves,CasaPia,1,0
Chaves,Estoril,1,1
Chaves,Famalicão,0,2
Chaves,GilVicente,3,1
Chaves,Marítimo,2,1
Chaves,PaçosdeFerreira,2,0
Chaves,Portimonense,2,0
Chaves,Porto,1,3
Chaves,RioAve,1,1
Chaves,SantaClara,0,0
Chaves,SportingCP,2,3
Chaves,VitóriadeGuimarães,0,1
Chaves,Vizela,1,1
Estoril,Arouca,2,0
Estoril,Benfica,1,5
Estoril,Boavista,2,1
Estoril,Braga,0,2
Estoril,CasaPia,2,0
Estoril,Chaves,0,2
Estoril,Famalicão,2,0
Estoril,GilVicente,1,0
Estoril,Marítimo,3,1
Estoril,PaçosdeFerreira,1,3
Estoril,Portimonense,0,1
Estoril,Porto,1,1
Estoril,RioAve,2,2
Estoril,SantaClara,3,0
Estoril,SportingCP,0,2
Estoril,VitóriadeGuimarães,0,1
Estoril,Vizela,0,3
Famalicão,Arouca,0,1
Famalicão,Benfica,0,1
Famalicão,Boavista,4,0
Famalicão,Braga,0,3
Famalicão,CasaPia,1,0
Famalicão,Chaves,1,2
